"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0141193","nuclear receptor-mediated signaling pathway","1/2","189/18842",0.00529100529100529,49.8465608465608,6.95371796165956,0.0199614750471829,0.0276140642456645,NA,"PER1",1
"GO:0007623","circadian rhythm","1/2","200/18842",0.005,47.105,6.75372379977074,0.0211170568721278,0.0276140642456645,NA,"PER1",1
"GO:0071383","cellular response to steroid hormone stimulus","1/2","205/18842",0.0048780487804878,45.9560975609756,6.66812997253164,0.021642095987246,0.0276140642456645,NA,"PER1",1
"GO:0097529","myeloid leukocyte migration","1/2","207/18842",0.00483091787439614,45.512077294686,6.6347545359222,0.0218520721969093,0.0276140642456645,NA,"CD99",1
"GO:0002685","regulation of leukocyte migration","1/2","210/18842",0.00476190476190476,44.8619047619048,6.58557834318247,0.0221669942581356,0.0276140642456645,NA,"CD99",1
"GO:0009755","hormone-mediated signaling pathway","1/2","212/18842",0.00471698113207547,44.438679245283,6.55336924170365,0.0223769141301075,0.0276140642456645,NA,"PER1",1
"GO:0071674","mononuclear cell migration","1/2","212/18842",0.00471698113207547,44.438679245283,6.55336924170365,0.0223769141301075,0.0276140642456645,NA,"CD99",1
"GO:0006814","sodium ion transport","1/2","242/18842",0.00413223140495868,38.9297520661157,6.11867996425346,0.0255230080004987,0.0308403013339359,NA,"PER1",1
"GO:0009416","response to light stimulus","1/2","253/18842",0.00395256916996047,37.2371541501976,5.97878386360805,0.026675305338034,0.0315748512164484,NA,"PER1",1
"GO:0048511","rhythmic process","1/2","272/18842",0.00367647058823529,34.6360294117647,5.75717919239748,0.0286640314786626,0.0332502765152486,NA,"PER1",1
"GO:0048545","response to steroid hormone","1/2","317/18842",0.00315457413249211,29.7192429022082,5.31312499367546,0.0333660597104823,0.0379457149648623,NA,"PER1",1
"GO:0043122","regulation of canonical NF-kappaB signal transduction","1/2","326/18842",0.00306748466257669,28.898773006135,5.23536349816757,0.0343050963509451,0.0382262320939984,NA,"PER1",1
"GO:0010959","regulation of metal ion transport","1/2","332/18842",0.00301204819277108,28.3765060240964,5.18525806412625,0.0349308672583089,0.0382262320939984,NA,"PER1",1
"GO:0007249","canonical NF-kappaB signal transduction","1/2","339/18842",0.00294985250737463,27.7905604719764,5.12846147493107,0.0356606769804041,0.0383022086085822,NA,"PER1",1
"GO:0050900","leukocyte migration","1/2","352/18842",0.00284090909090909,26.7642045454545,5.02743122249604,0.0370153055028778,0.0385530405767143,NA,"CD99",1
"GO:0009314","response to radiation","1/2","354/18842",0.00282485875706215,26.6129943502825,5.01237484606985,0.0372236253844138,0.0385530405767143,NA,"PER1",1
"GO:0043269","regulation of monoatomic ion transport","1/2","383/18842",0.00261096605744125,24.5979112271541,4.80723539310576,0.040241731287454,0.0409477265731988,NA,"PER1",1
"GO:0030522","intracellular receptor signaling pathway","1/2","399/18842",0.0025062656641604,23.6115288220551,4.70356462232868,0.0419048650081024,0.0419048650081024,NA,"PER1",1
